frame,coverage_ratio
1650,73.6459
1651,73.6459
1652,73.6567
1653,73.7038
1654,73.7571
1655,73.8016
1656,73.8491
1657,73.8895
1658,73.9387
1659,73.9829
1660,74.0315
1661,74.0763
1662,74.1216
1663,74.1579
1664,74.1717
1665,74.1778
1666,74.194
1667,74.2333
1668,74.2548
1669,74.268
1670,74.2794
1671,74.2903
1672,74.3171
1673,74.3664
1674,74.3878
1675,74.3893
1676,74.3923
1677,74.396
1678,74.4069
1679,74.4108
1680,74.411
1681,74.4111
1682,74.4133
1683,74.4312
1684,74.4708
1685,74.5226
1686,74.5637
1687,74.5682
1688,74.5682
1689,74.5699
1690,74.5733
1691,74.5737
1692,74.5737
1693,74.5737
1694,74.5737
1695,74.5737
1696,74.5743
1697,74.5786
1698,74.5844
1699,74.5892
1700,74.5922
1701,74.5922
1702,74.5922
1703,74.5922
1704,74.5922
1705,74.5922
1706,74.5922
1707,74.5922
1708,74.5925
1709,74.5925
1710,74.5925
1711,74.5925
1712,74.5925
1713,74.5925
1714,74.5925
1715,74.5925
1716,74.5925
1717,74.5925
1718,74.5925
1719,74.5925
1720,74.5925
1721,74.5925
1722,74.5925
1723,74.5925
1724,74.5925
1725,74.5925
1726,74.5925
1727,74.5925
1728,74.5925
1729,74.5925
1730,74.5925
1731,74.5925
1732,74.5951
1733,74.5985
1734,74.6047
1735,74.606
1736,74.6115
1737,74.6117
1738,74.6121
1739,74.6121
1740,74.6145
1741,74.6241
1742,74.6275
1743,74.6277
1744,74.6278
1745,74.6278
1746,74.6278
1747,74.6278
1748,74.6278
1749,74.6278
1750,74.6278
1751,74.6278
1752,74.6278
1753,74.6278
1754,74.6278
1755,74.6278
1756,74.6278
1757,74.6278
1758,74.6278
1759,74.6278
1760,74.6278
1761,74.6278
1762,74.6278
1763,74.6278
1764,74.6278
1765,74.6278
1766,74.6278
1767,74.6278
1768,74.6278
1769,74.6278
1770,74.6278
1771,74.6278
1772,74.6278
1773,74.6278
1774,74.6278
1775,74.6278
1776,74.6278
1777,74.6278
1778,74.6278
1779,74.6278
1780,74.6278
1781,74.6278
1782,74.6278
1783,74.6278
1784,74.6278
1785,74.6278
1786,74.6278
1787,74.6312
1788,74.638
1789,74.638
1790,74.638
1791,74.638
1792,74.638
1793,74.638
1794,74.638
1795,74.638
1796,74.638
1797,74.638
1798,74.638
1799,74.638
1800,74.638
1801,74.638
1802,74.638
1803,74.638
1804,74.638
1805,74.638
1806,74.638
1807,74.638
1808,74.638
1809,74.638
1810,74.638
1811,74.638
1812,74.638
1813,74.638
1814,74.638
1815,74.638
1816,74.638
1817,74.638
1818,74.638
1819,74.638
1820,74.638
1821,74.638
1822,74.638
1823,74.638
1824,74.638
1825,74.638
1826,74.638
1827,74.6421
1828,74.6421
1829,74.6426
1830,74.6438
1831,74.668
1832,74.7983
1833,74.8752
1834,74.89
1835,74.9001
1836,74.9346
1837,74.9613
1838,74.9971
1839,75.0232
1840,75.0549
1841,75.0711
1842,75.0871
1843,75.092
1844,75.1143
1845,75.1301
1846,75.1562
1847,75.1624
1848,75.176
1849,75.2338
1850,75.2379
1851,75.248
1852,75.2866
1853,75.3443
1854,75.4205
1855,75.4765
1856,75.5012
1857,75.5214
1858,75.5219
1859,75.5244
1860,75.5263
1861,75.5283
1862,75.5424
1863,75.5424
1864,75.5473
1865,75.6539
1866,75.7319
1867,75.7589
1868,75.7589
1869,75.7589
1870,75.7589
1871,75.7589
1872,75.7589
